Query;Time;Scale Factor;Approach;Shape;Type;LDBC_QNum;Considered
1;0;10;Schema;Acyclic;GPM;SN1;N
2;0;10;Schema;Acyclic;GPM;SN2;N
3;0;10;Schema;Acyclic;GPM;SN6;N
4;203604;10;Schema;Cyclic;GPM;SN7;Y
5;70121;10;Schema;Cyclic;GPM;SN8;Y
6;0;10;Schema;Acyclic;GPM;SN9;N
7;262915;10;Schema;Acyclic;GPM;SN11;Y
8;0;10;Schema;Acyclic;GN;SN12;N
9;0;10;Schema;Cyclic;GN;SN13;N
10;130856;10;Schema;Cyclic;GN;SN14;Y
11;0;10;Schema;Acyclic;GN;SN15;N
12;0;10;Schema;Acyclic;GN;SN16;N
13;234795;10;Schema;Acyclic;GN;SN17;Y
14;55220;10;Schema;Acyclic;GN;SN18;Y
15;0;10;Schema;Acyclic;GN;SN21;N
16;182817;10;Schema;Acyclic;GN;SN23;Y
17;14102;10;Schema;Acyclic;GN;SN25;Y
18;11814;10;Schema;Acyclic;GN;SN26;Y
19;188954;10;Schema;Cyclic;GN;SN28;Y
20;57738;10;Schema;Acyclic;GN;SN31;Y
21;269956;10;Schema;Cyclic;GPM;SN32;Y
22;26909;10;Schema;Cyclic;GPM;BI1;Y
23;0;10;Schema;Acyclic;GN;BI2;N
24;27795;10;Schema;Acyclic;GN;BI3;Y
25;179619;10;Schema;Acyclic;GN;BI5;Y
26;49392;10;Schema;Cyclic;GN;BI6;Y
27;0;10;Schema;Acyclic;GN;LSQB1;N
28;86705;10;Schema;Acyclic;GPM;LSQB2;Y
29;71704;10;Schema;Cyclic;GPM;LSQB3;Y
30;0;10;Schema;Acyclic;GPM;LSQB4;N
1;0;10;Non Schema;Acyclic;GPM;SN1;N
2;0;10;Non Schema;Acyclic;GPM;SN2;N
3;0;10;Non Schema;Acyclic;GPM;SN6;N
4;77404;10;Non Schema;Cyclic;GPM;SN7;Y
5;31234;10;Non Schema;Cyclic;GPM;SN8;Y
6;0;10;Non Schema;Acyclic;GPM;SN9;N
7;276525;10;Non Schema;Acyclic;GPM;SN11;Y
8;0;10;Non Schema;Acyclic;GN;SN12;N
9;0;10;Non Schema;Cyclic;GN;SN13;N
10;69272;10;Non Schema;Cyclic;GN;SN14;Y
11;0;10;Non Schema;Acyclic;GN;SN15;N
12;0;10;Non Schema;Acyclic;GN;SN16;N
13;606552;10;Non Schema;Acyclic;GN;SN17;Y
14;416247;10;Non Schema;Acyclic;GN;SN18;Y
15;0;10;Non Schema;Acyclic;GN;SN21;N
16;1800000;10;Non Schema;Acyclic;GN;SN23;Y
17;14941;10;Non Schema;Acyclic;GN;SN25;Y
18;17692;10;Non Schema;Acyclic;GN;SN26;Y
19;152860;10;Non Schema;Cyclic;GN;SN28;Y
20;138195;10;Non Schema;Acyclic;GN;SN31;Y
21;51201;10;Non Schema;Cyclic;GPM;SN32;Y
22;23965;10;Non Schema;Cyclic;GPM;BI1;Y
23;0;10;Non Schema;Acyclic;GN;BI2;N
24;163888;10;Non Schema;Acyclic;GN;BI3;Y
25;169437;10;Non Schema;Acyclic;GN;BI5;Y
26;17505;10;Non Schema;Cyclic;GN;BI6;Y
27;0;10;Non Schema;Acyclic;GN;LSQB1;N
28;101467;10;Non Schema;Acyclic;GPM;LSQB2;Y
29;75531;10;Non Schema;Cyclic;GPM;LSQB3;Y
30;0;10;Non Schema;Acyclic;GPM;LSQB4;N
