Query;Run1;Run2;Run3;Run4;Scale Factor;Approach;Shape;Type;Considered
2;0.0   ;0.0   ;0.0   ;0.0   ;1;Schema;Acyclic;GPM;N
3;0.0   ;0.0  ;0.0  ;0.0  ;1;Schema;Acyclic;GPM;N
4;7624.0 ;4484.0 ;5667.0 ;4396.0 ;1;Schema;Cyclic;GPM;N
5;3125.0  ;2677.0  ;2535.0  ;2624.0  ;1;Schema;Cyclic;GPM;N
6;0.0   ;0.0   ;0.0   ;0.0  ;1;Schema;Acyclic;GPM;N
7;11959.0 ;9840.0 ;9826.0 ;9863.0  ;1;Schema;Acyclic;GPM;Y
8;181380.0   ;178257.0  ;160310.0  ;168134.0  ;1;Schema;Acyclic;GN;Y
9;0.0   ;0.0  ;0.0  ;0.0  ;1;Schema;Cyclic;GN;N
10;662409.0 ;239790.0 ;193422.0 ;636137.0 ;1;Schema;Cyclic;GN;N
11;479366.0  ;143011.0  ;147052.0  ;443890.0  ;1;Schema;Acyclic;GN;N
12;0.0    ;0.0     ;0.0     ;0.0    ;1;Schema;Acyclic;GN;N
13;41825.0  ;14811.0 ;15064.0 ;41601.0  ;1;Schema;Acyclic;GN;Y
14;5488.0 ;6812.0  ;5924.0  ;4887.0 ;1;Schema;Acyclic;GN;Y
15;276712.0 ;367863.0 ;354914.0 ;318648.0 ;1;Schema;Acyclic;GN;N
16;16720.0 ;13469.0 ;12921.0 ;14937.0 ;1;Schema;Acyclic;GN;Y
17;2757.0 ;2909.0 ;2636.0 ;2377.0 ;1;Schema;Acyclic;GN;Y
18;2039.0 ;2115.0 ;2086.0 ;1786.0 ;1;Schema;Acyclic;GN;N
19;13418.0  ;10726.0 ;10446.0 ;12051.0 ;1;Schema;Cyclic;GN;N
20;3908.0 ;3997.0 ;3929.0 ;3105.0 ;1;Schema;Acyclic;GN;Y
21;5897.0 ;6490.0  ;6156.0  ;4466.0  ;1;Schema;Cyclic;GPM;N
22;1184.0  ;1392.0  ;1267.0  ;1315.0 ;1;Schema;Cyclic;GPM;N
23;0.0    ;0.0   ;0.0   ;0.0   ;1;Schema;Acyclic;GN;N
24;2464.0 ;2332.0 ;2146.0 ;1673.0 ;1;Schema;Acyclic;GN;Y
25;13742.0 ;10409.0  ;10077.0  ;13998.0 ;1;Schema;Acyclic;GN;Y
26;166.0   ;81.0   ;80.0  ;160.0 ;1;Schema;Cyclic;GN;N
27;33609.0  ;19363.0 ;19039.0  ;19064.0 ;1;Schema;Acyclic;GN;Y
