Query	Time	Approach	Scale	UApproach
7	0.0	Baseline	3.0	SysMB
8	0.0	Baseline	3.0	SysMB
9	0.0	Baseline	3.0	SysMB
10	0.0	Baseline	3.0	SysMB
12	0.0	Baseline	3.0	SysMB
13	0.0	Baseline	3.0	SysMB
14	0.0	Baseline	3.0	SysMB
2	1.06	Schema	0.1	SysMS
3	0.04	Schema	0.1	SysMS
6	498.54	Schema	0.1	SysMS
7	0.67	Schema	0.1	SysMS
8	3.69	Schema	0.1	SysMS
9	0.04	Schema	0.1	SysMS
10	0.79	Schema	0.1	SysMS
12	0.12	Schema	0.1	SysMS
13	3.93	Schema	0.1	SysMS
14	0.14	Schema	0.1	SysMS
2	5.85	Schema	0.3	SysMS
3	0.04	Schema	0.3	SysMS
6	0.0	Schema	0.3	SysMS
7	1.13	Schema	0.3	SysMS
8	17.37	Schema	0.3	SysMS
9	0.02	Schema	0.3	SysMS
10	1.78	Schema	0.3	SysMS
12	2.19	Schema	0.3	SysMS
13	16.75	Schema	0.3	SysMS
14	0.16	Schema	0.3	SysMS
2	94.34	Schema	1.0	SysMS
3	0.04	Schema	1.0	SysMS
6	0.0	Schema	1.0	SysMS
7	2.87	Schema	1.0	SysMS
8	99.48	Schema	1.0	SysMS
9	0.04	Schema	1.0	SysMS
10	7.57	Schema	1.0	SysMS
12	0.38	Schema	1.0	SysMS
13	72.52	Schema	1.0	SysMS
14	0.25	Schema	1.0	SysMS
2	0.0	Schema	3.0	SysMS
3	0.0	Schema	3.0	SysMS
6	0.0	Schema	3.0	SysMS
7	0.0	Schema	3.0	SysMS
8	0.0	Schema	3.0	SysMS
9	0.0	Schema	3.0	SysMS
10	0.0	Schema	3.0	SysMS
12	0.0	Schema	3.0	SysMS
13	0.0	Schema	3.0	SysMS
14	0.0	Schema	3.0	SysMS
2	0.499	Schema	0.1	SysSS
3	0.158	Schema	0.1	SysSS
6	1.867	Schema	0.1	SysSS
7	0.012	Schema	0.1	SysSS
8	2.417	Schema	0.1	SysSS
9	0.0006	Schema	0.1	SysSS
10	1.09	Schema	0.1	SysSS
12	0.144	Schema	0.1	SysSS
13	2.095	Schema	0.1	SysSS
14	0.144	Schema	0.1	SysSS
2	2.868	Schema	0.3	SysSS
3	0.04	Schema	0.3	SysSS
6	0.0	Schema	0.3	SysSS
7	0.026	Schema	0.3	SysSS
8	6.402	Schema	0.3	SysSS
9	0.037	Schema	0.3	SysSS
10	2.92	Schema	0.3	SysSS
12	0.265	Schema	0.3	SysSS
